"Source","Target"
"Torres, L.A.C.","Regalado, J.I.A."
"Torres, L.A.C.","Ortega, A.L.O."
"Regalado, J.I.A.","Ortega, A.L.O."
"Jimmy Banchon, Z.","Villavicencio, M."
"Jimmy Banchon, Z.","Izquierdo, E."
"Villavicencio, M.","Izquierdo, E."
"Pineda-Lopez, F.","Guerra, A."
"Pineda-Lopez, F.","Montes, E."
"Pineda-Lopez, F.","Benitez, D.S."
"Guerra, A.","Montes, E."
"Guerra, A.","Benitez, D.S."
"Montes, E.","Benitez, D.S."
"Lara-Cueva, R.","Carrera, E.V."
"Lara-Cueva, R.","Morejon, J.F."
"Lara-Cueva, R.","Benitez, D."
"Carrera, E.V.","Morejon, J.F."
"Carrera, E.V.","Benitez, D."
"Morejon, J.F.","Benitez, D."
"Irving, V.C.","Harlyn, P.O."
"Irving, V.C.","Marjorie, C.T."
"Irving, V.C.","Washington, V.V."
"Harlyn, P.O.","Marjorie, C.T."
"Harlyn, P.O.","Washington, V.V."
"Marjorie, C.T.","Washington, V.V."
"Washington, V.V.","Marjorie, C.T."
"Fernndez, E.","Augeri, F."
"Fernndez, E.","Coello, M."
"Augeri, F.","Coello, M."
"Sanchez, A.","Arauz, J."
"Sanchez, A.","McClure, J.W."
"Sanchez, A.","Miller, Z."
"Arauz, J.","McClure, J.W."
"Arauz, J.","Miller, Z."
"McClure, J.W.","Miller, Z."
"Miller, Z.","McClure, J.W."
"Velastegui, A.F.C.","Pinheiro, W.A."
"Velastegui, A.F.C.","Peixoto, M.V."
"Pinheiro, W.A.","Peixoto, M.V."
"Orozco, N.","Carvajal, H."
"Orozco, N.","Olmedo, G."
"Orozco, N.","Leon, R."
"Orozco, N.","De Almeida, C."
"Carvajal, H.","Olmedo, G."
"Carvajal, H.","Leon, R."
"Carvajal, H.","De Almeida, C."
"Olmedo, G.","Leon, R."
"Olmedo, G.","De Almeida, C."
"Leon, R.","Olmedo, G."
"Leon, R.","De Almeida, C."
"De Almeida, C.","Leon, R."
"Cumbal, R.","Palacios, H."
"Cumbal, R.","Hincapie, R."
"Palacios, H.","Hincapie, R."
"Bonilla, R.I.","Tenecela, L."
"Bonilla, R.I.","Vlez, W."
"Bonilla, R.I.","Moncayo, R."
"Tenecela, L.","Vlez, W."
"Tenecela, L.","Moncayo, R."
"Vlez, W.","Moncayo, R."
"Moncayo, R.","Vlez, W."
"Delgado Domnguez, A.I.","Aguilar, M.G.P."
"Torres, J.","Baquerizo, G."
"Torres, J.","Vaca, C."
"Torres, J.","Pelez, E."
"Baquerizo, G.","Vaca, C."
"Baquerizo, G.","Pelez, E."
"Vaca, C.","Pelez, E."
"Pelez, E.","Vaca, C."
"Saraguro-Bravo, R.A.","Jara-Roa, D.I."
"Saraguro-Bravo, R.A.","Agila-Palacios, M."
"Jara-Roa, D.I.","Agila-Palacios, M."
"Viola, J.","Restrepo, J."
"Viola, J.","Aller, J.M."
"Viola, J.","Quizhpi, F."
"Viola, J.","Fajardo, M."
"Restrepo, J.","Aller, J.M."
"Restrepo, J.","Quizhpi, F."
"Restrepo, J.","Fajardo, M."
"Aller, J.M.","Quizhpi, F."
"Aller, J.M.","Fajardo, M."
"Quizhpi, F.","Fajardo, M."
"Cando, E.H.","Luo, X.W."
"Cando, E.H.","Hidalgo, V.H."
"Cando, E.H.","Zhu, L."
"Cando, E.H.","Aguinaga, A.G."
"Luo, X.W.","Hidalgo, V.H."
"Luo, X.W.","Zhu, L."
"Luo, X.W.","Aguinaga, A.G."
"Hidalgo, V.H.","Zhu, L."
"Hidalgo, V.H.","Aguinaga, A.G."
"Zhu, L.","Aguinaga, A.G."
"Duque, M.","Cando, E."
"Duque, M.","Aguinaga, A."
"Duque, M.","Llulluna, F."
"Duque, M.","Jara, N."
"Duque, M.","Moreno, T."
"Cando, E.","Aguinaga, A."
"Cando, E.","Llulluna, F."
"Cando, E.","Jara, N."
"Cando, E.","Moreno, T."
"Aguinaga, A.","Llulluna, F."
"Aguinaga, A.","Jara, N."
"Aguinaga, A.","Moreno, T."
"Llulluna, F.","Jara, N."
"Llulluna, F.","Moreno, T."
"Jara, N.","Moreno, T."
"Morocho, D.","Morales, A."
"Morocho, D.","Fierrez, J."
"Morocho, D.","Vera-Rodriguez, R."
"Morales, A.","Fierrez, J."
"Morales, A.","Vera-Rodriguez, R."
"Fierrez, J.","Vera-Rodriguez, R."
"Vera-Rodriguez, R.","Fierrez, J."
"Sanchez-Olivares, P.","Haro-Baez, R.V."
"Sanchez-Olivares, P.","Sanchez-Dancausa, P.P."
"Sanchez-Olivares, P.","Masa-Campos, J.L."
"Sanchez-Olivares, P.","Ruiz-Cruz, J.A."
"Haro-Baez, R.V.","Sanchez-Dancausa, P.P."
"Haro-Baez, R.V.","Masa-Campos, J.L."
"Haro-Baez, R.V.","Ruiz-Cruz, J.A."
"Sanchez-Dancausa, P.P.","Masa-Campos, J.L."
"Sanchez-Dancausa, P.P.","Ruiz-Cruz, J.A."
"Masa-Campos, J.L.","Ruiz-Cruz, J.A."
"Minchala-Avila, L.I.","Reinoso-Avecillas, M."
"Minchala-Avila, L.I.","Sanchez, C."
"Minchala-Avila, L.I.","Mora, A."
"Minchala-Avila, L.I.","Yungaicela, M."
"Minchala-Avila, L.I.","Mata-Quevedo, J.P."
"Reinoso-Avecillas, M.","Sanchez, C."
"Reinoso-Avecillas, M.","Mora, A."
"Reinoso-Avecillas, M.","Yungaicela, M."
"Reinoso-Avecillas, M.","Mata-Quevedo, J.P."
"Sanchez, C.","Mora, A."
"Sanchez, C.","Yungaicela, M."
"Sanchez, C.","Mata-Quevedo, J.P."
"Mora, A.","Yungaicela, M."
"Mora, A.","Mata-Quevedo, J.P."
"Yungaicela, M.","Mata-Quevedo, J.P."
"Contreras, J.C.M.","Campoverde, R.S.A."
"Contreras, J.C.M.","Hidalgo, J.C.C."
"Contreras, J.C.M.","Tapia, P.E.V."
"Campoverde, R.S.A.","Hidalgo, J.C.C."
"Campoverde, R.S.A.","Tapia, P.E.V."
"Hidalgo, J.C.C.","Tapia, P.E.V."
"Tapia, P.E.V.","Hidalgo, J.C.C."
"Alvarez, M.A.","Soatti, G."
"Alvarez, M.A.","Nicoli, M."
"Alvarez, M.A.","Spagnolini, U."
"Soatti, G.","Nicoli, M."
"Soatti, G.","Spagnolini, U."
"Nicoli, M.","Spagnolini, U."
"Spagnolini, U.","Nicoli, M."
"Pelaez, J.I.","Casado, A.M."
"Pelaez, J.I.","Yanez, E.R."
"Pelaez, J.I.","Duran, F.A."
"Casado, A.M.","Yanez, E.R."
"Casado, A.M.","Duran, F.A."
"Yanez, E.R.","Duran, F.A."
"Duran, F.A.","Yanez, E.R."
"Kizilcec, R.F.","Prez-Sanagustn, M."
"Kizilcec, R.F.","Maldonado, J.J."
"Prez-Sanagustn, M.","Maldonado, J.J."
"Rene Jativa, E.","Garzon, E."
"Rene Jativa, E.","Vidal, J."
"Garzon, E.","Vidal, J."
"Ochoa, M.","Aguiar, G."
"Ochoa, M.","Erazo, A."
"Aguiar, G.","Erazo, A."
"Lara-Cueva, R.","Olmedo, G."
"Lara-Cueva, R.","Acosta, M."
"Lara-Cueva, R.","Sandoval, J."
"Olmedo, G.","Acosta, M."
"Olmedo, G.","Sandoval, J."
"Acosta, M.","Sandoval, J."
"Sandoval, J.","Acosta, M."
"Alfaro, C.","Lavn, J.M."
"Alfaro, C.","Gmez, J."
"Alfaro, C.","Ros, D."
"Lavn, J.M.","Gmez, J."
"Lavn, J.M.","Ros, D."
"Gmez, J.","Ros, D."
"Ros, D.","Gmez, J."
"Quezada-Sarmiento, P.A.","Morocho-Quezada, M."
"Quezada-Sarmiento, P.A.","Pacheco-Jara, L."
"Quezada-Sarmiento, P.A.","Garbajosa, J."
"Morocho-Quezada, M.","Pacheco-Jara, L."
"Morocho-Quezada, M.","Garbajosa, J."
"Pacheco-Jara, L.","Garbajosa, J."
"Garbajosa, J.","Pacheco-Jara, L."
"Armas, N.","Morales, V."
"Armas, N.","Bayona, S."
"Morales, V.","Bayona, S."
"Navarrete, R.","Lujn-Mora, S."
"Navarrete, R.","Peafiel, M."
"Lujn-Mora, S.","Peafiel, M."
"Herrera, N.H.","Santamara, H.S."
"Herrera, N.H.","Macas, M.M."
"Herrera, N.H.","Gmez, E."
"Santamara, H.S.","Macas, M.M."
"Santamara, H.S.","Gmez, E."
"Macas, M.M.","Gmez, E."
"Gmez, E.","Macas, M.M."
"Tern, L.","Horst, C."
"Tern, L.","Valencia, B.F."
"Tern, L.","Rodriguez, P."
"Horst, C.","Valencia, B.F."
"Horst, C.","Rodriguez, P."
"Valencia, B.F.","Rodriguez, P."
"Rodriguez, P.","Valencia, B.F."
"Sanchez-Gordon, S.","Lujn-Mora, S."
"Pelaez, J.I.","Casado, A.M."
"Pelaez, J.I.","Duran, F.A."
"Pelaez, J.I.","Yanez, A.H."
"Casado, A.M.","Duran, F.A."
"Casado, A.M.","Yanez, A.H."
"Duran, F.A.","Yanez, A.H."
"Yanez, A.H.","Duran, F.A."
"Navarrete, R.","Lujn-Mora, S."
"Sanchez-Gordon, S.","Estevez, J."
"Sanchez-Gordon, S.","Lujn-Mora, S."
"Estevez, J.","Lujn-Mora, S."
"Calle-Jimenez, T.","Lujn-Mora, S."
"Ochoa, X.","Weibel, N."
"Ochoa, X.","Worsley, M."
"Ochoa, X.","Oviatt, S."
"Weibel, N.","Worsley, M."
"Weibel, N.","Oviatt, S."
"Worsley, M.","Oviatt, S."
"Oviatt, S.","Worsley, M."
"Greer, J.","Molinaro, M."
"Greer, J.","Ochoa, X."
"Greer, J.","Mckay, T."
"Molinaro, M.","Ochoa, X."
"Molinaro, M.","Mckay, T."
"Ochoa, X.","Mckay, T."
"Mckay, T.","Ochoa, X."
"Morocho, D.","Morales, A."
"Morocho, D.","Fierrez, J."
"Morocho, D.","Tolosana, R."
"Morales, A.","Fierrez, J."
"Morales, A.","Tolosana, R."
"Fierrez, J.","Tolosana, R."
"Tolosana, R.","Fierrez, J."
"Boehme, A.K.","McClure, L.A."
"Boehme, A.K.","Zhang, Y."
"Boehme, A.K.","Luna, J.M."
"Boehme, A.K.","Del Brutto, O.H."
"Boehme, A.K.","Benavente, O.R."
"Boehme, A.K.","Elkind, M.S.V."
"McClure, L.A.","Zhang, Y."
"McClure, L.A.","Luna, J.M."
"McClure, L.A.","Del Brutto, O.H."
"McClure, L.A.","Benavente, O.R."
"McClure, L.A.","Elkind, M.S.V."
"Zhang, Y.","Luna, J.M."
"Zhang, Y.","Del Brutto, O.H."
"Zhang, Y.","Benavente, O.R."
"Zhang, Y.","Elkind, M.S.V."
"Luna, J.M.","Del Brutto, O.H."
"Luna, J.M.","Benavente, O.R."
"Luna, J.M.","Elkind, M.S.V."
"Del Brutto, O.H.","Benavente, O.R."
"Del Brutto, O.H.","Elkind, M.S.V."
"Benavente, O.R.","Elkind, M.S.V."
"Shi, D.","Zurada, J."
"Shi, D.","Guan, J."
"Zurada, J.","Guan, J."
"Pilco, A.","Zavala, V."
"Pilco, A.","Martinez, O."
"Pilco, A.","Flores, T."
"Zavala, V.","Martinez, O."
"Zavala, V.","Flores, T."
"Martinez, O.","Flores, T."
"Flores, T.","Martinez, O."
"Urbina, M.","Acosta, T."
"Urbina, M.","Christian, V."
"Urbina, M.","Chafla, G."
"Acosta, T.","Christian, V."
"Acosta, T.","Chafla, G."
"Christian, V.","Chafla, G."
"Cano, I.N.","Tipn, M.N."
"Cano, I.N.","Arvalo, G.V."
"Tipn, M.N.","Arvalo, G.V."
"Gmez, J.","Medina, W."
"Gmez, J.","Novillo, F."
"Medina, W.","Novillo, F."
"Vlez, C.","Kortum, M."
"Vlez, C.","Ramos, B."
"Kortum, M.","Ramos, B."
"Segura, A.","Olmedo, G."
"Segura, A.","Acosta, F."
"Segura, A.","Santilln, M."
"Olmedo, G.","Acosta, F."
"Olmedo, G.","Santilln, M."
"Acosta, F.","Santilln, M."
"Santilln, M.","Acosta, F."
"Novillo, F.","Valdivieso, C."
"Novillo, F.","Velasquez, F."
"Valdivieso, C.","Velasquez, F."
"Solano-Quinde, L.","Gualan-Saavedra, R."
"Solano-Quinde, L.","Zuiga-Prieto, M."
"Gualan-Saavedra, R.","Zuiga-Prieto, M."
"Lucas, P.","Astudillo, E."
"Lucas, P.","Pelez, E."
"Astudillo, E.","Pelez, E."
"Diego Andres Cuji, D.","Chasi, P.A."
"Diego Andres Cuji, D.","Guerrero, F."
"Diego Andres Cuji, D.","Rivera, F."
"Chasi, P.A.","Guerrero, F."
"Chasi, P.A.","Rivera, F."
"Guerrero, F.","Rivera, F."
"Rivera, F.","Guerrero, F."
"Bravo-Quezada, O.G.","Blanco-Fernandez, Y."
"Bravo-Quezada, O.G.","Lopez-Nores, M."
"Bravo-Quezada, O.G.","Nauta, D.A.P."
"Blanco-Fernandez, Y.","Lopez-Nores, M."
"Blanco-Fernandez, Y.","Nauta, D.A.P."
"Lopez-Nores, M.","Nauta, D.A.P."
"Nauta, D.A.P.","Lopez-Nores, M."
"Vsquez, L.F.G.","Dutn, D.A.C."
"Vsquez, L.F.G.","Figueroa, E.E.O."
"Dutn, D.A.C.","Figueroa, E.E.O."
"Agila, W.","Cajo, R."
"Agila, W.","Plaza, D."
"Cajo, R.","Plaza, D."
"Santos, E.","Snchez, E."
"Santos, E.","Hidalgo, L."
"Santos, E.","Chvez, T."
"Santos, E.","Villao, L."
"Santos, E.","Pacheco, R."
"Santos, E.","Navarrete, O."
"Snchez, E.","Hidalgo, L."
"Snchez, E.","Chvez, T."
"Snchez, E.","Villao, L."
"Snchez, E.","Pacheco, R."
"Snchez, E.","Navarrete, O."
"Hidalgo, L.","Chvez, T."
"Hidalgo, L.","Villao, L."
"Hidalgo, L.","Pacheco, R."
"Hidalgo, L.","Navarrete, O."
"Chvez, T.","Villao, L."
"Chvez, T.","Pacheco, R."
"Chvez, T.","Navarrete, O."
"Villao, L.","Pacheco, R."
"Villao, L.","Navarrete, O."
"Pacheco, R.","Navarrete, O."
"Cueva, I.","Moscoso, A."
"Cueva, I.","Morales, J."
"Moscoso, A.","Morales, J."
"Booth, D.B.","Roy, A.H."
"Booth, D.B.","Smith, B."
"Booth, D.B.","Capps, K.A."
"Roy, A.H.","Smith, B."
"Roy, A.H.","Capps, K.A."
"Smith, B.","Capps, K.A."
"Capps, K.A.","Smith, B."
"Walsh, C.J.","Webb, J.A."
"Wallace, A.M.","Biastoch, R.G."
"Walrath, J.D.","Dauwalter, D.C."
"Walrath, J.D.","Reinke, D."
"Dauwalter, D.C.","Reinke, D."
"Hawley, R.J.","Vietz, G.J."
"King, R.S.","Scoggins, M."
"King, R.S.","Porras, A."
"Scoggins, M.","Porras, A."
"Hale, R.L.","Scoggins, M."
"Hale, R.L.","Smucker, N.J."
"Hale, R.L.","Suchy, A."
"Scoggins, M.","Smucker, N.J."
"Scoggins, M.","Suchy, A."
"Smucker, N.J.","Suchy, A."
"Suchy, A.","Smucker, N.J."
"King, R.S.","Scoggins, M."
"King, R.S.","Porras, A."
"Scoggins, M.","Porras, A."
"Hale, R.L.","Scoggins, M."
"Hale, R.L.","Smucker, N.J."
"Hale, R.L.","Suchy, A."
"Scoggins, M.","Smucker, N.J."
"Scoggins, M.","Suchy, A."
"Smucker, N.J.","Suchy, A."
"Suchy, A.","Smucker, N.J."
"Salazar, N.R.","Heyl, B.H."
"Manzano, S.","Escobar, A."
"Manzano, S.","Pallo, J.P."
"Manzano, S.","Nunez, A."
"Escobar, A.","Pallo, J.P."
"Escobar, A.","Nunez, A."
"Pallo, J.P.","Nunez, A."
"Nunez, A.","Pallo, J.P."
"Martin, C.A.","Rivera, D.E."
"Martin, C.A.","Hekler, E.B."
"Rivera, D.E.","Hekler, E.B."
"Torres, J.A.","Roy, S."
"Torres, J.A.","Roy, S."
"Kim, S.","Duan, Z."
"Kim, S.","Sanchez, F."
"Duan, Z.","Sanchez, F."
"Berrezueta-Guzmn, J.","Coronel-Maldonado, F."
"Berrezueta-Guzmn, J.","Serpa-Andrade, L."
"Berrezueta-Guzmn, J.","Robles-Bykbaev, V."
"Coronel-Maldonado, F.","Serpa-Andrade, L."
"Coronel-Maldonado, F.","Robles-Bykbaev, V."
"Serpa-Andrade, L.","Robles-Bykbaev, V."
"Ordonez, L.C.C.","Gonzalez, J.R.D."
"Ordonez, L.C.C.","Gonzalez, E.J.C."
"Gonzalez, J.R.D.","Gonzalez, E.J.C."
"Benavides, J.L.","Tapia, D."
"Benavides, J.L.","Valarezo, M."
"Tapia, D.","Valarezo, M."
"Lara-Cueva, R.","Olmedo, G."
"Lara-Cueva, R.","Calvopina, K."
"Olmedo, G.","Calvopina, K."
"Rodas, P.E.","Coronel, E.J."
"Bernal Onate, P.","Lara-Cueva, R."
"Bernal Onate, P.","Guaman, Y."
"Lara-Cueva, R.","Guaman, Y."
"Barreiros, J.","Magne, N."
"Mancheno, S.","Snchez, A."
"Pillajo, C.","Hincapie, R."
"Pillajo, C.","Pilatasig, E."
"Hincapie, R.","Pilatasig, E."
"Moyano, G.","Moposita, S."
"Moyano, G.","Flores, T."
"Moyano, G.","Ramos, V."
"Moposita, S.","Flores, T."
"Moposita, S.","Ramos, V."
"Flores, T.","Ramos, V."
"Ramos, V.","Flores, T."
"Morales, D.X.","Medina, R.D."
"Morales, D.X.","Besanger, Y."
"Medina, R.D.","Besanger, Y."
"Aguilar, L.M.","Torres, J.P."
"Aguilar, L.M.","Jimenes, C.R."
"Aguilar, L.M.","Cabrera, D.R."
"Torres, J.P.","Jimenes, C.R."
"Torres, J.P.","Cabrera, D.R."
"Jimenes, C.R.","Cabrera, D.R."
"Cabrera, D.R.","Jimenes, C.R."
"Castillo, F.","Alulema, D."
"Castillo, F.","Acosta, F."
"Castillo, F.","Morocho, D."
"Alulema, D.","Acosta, F."
"Alulema, D.","Morocho, D."
"Acosta, F.","Morocho, D."
"Morocho, D.","Acosta, F."
"Orellana, J.","Pauzhi, W."
"Orellana, J.","Cabrera, D."
"Pauzhi, W.","Cabrera, D."
"Pauzhi, W.","Coronel, J."
"Bernal Onate, P.","Lara-Cueva, R."
"Bernal Onate, P.","Rivadeneira, J."
"Lara-Cueva, R.","Rivadeneira, J."
"Cuzco, L.","Arias, J."
"Cuzco, L.","Abril, A."
"Cuzco, L.","Cabrera, D."
"Arias, J.","Abril, A."
"Arias, J.","Cabrera, D."
"Abril, A.","Cabrera, D."
"Cabrera, D.","Abril, A."
"Gonzalo, P.-J.","Holgado-Terriza Juan, A."
"Chacn-Troya, D.P.","Mena, M.F."
"Len, J.D.V.","Carranza, O."
"Len, J.D.V.","Rodriguez, J.J."
"Len, J.D.V.","Gonzlez, L.G."
"Carranza, O.","Rodriguez, J.J."
"Carranza, O.","Gonzlez, L.G."
"Rodriguez, J.J.","Gonzlez, L.G."
"Gonzlez, L.G.","Rodriguez, J.J."
"Serpa-Andrade, L.","Robles-Bykbaev, V."
"Serpa-Andrade, L.","Gonzlez-Delgado, L."
"Serpa-Andrade, L.","Moreno, J.L."
"Robles-Bykbaev, V.","Gonzlez-Delgado, L."
"Robles-Bykbaev, V.","Moreno, J.L."
"Gonzlez-Delgado, L.","Moreno, J.L."
"Moreno, J.L.","Gonzlez-Delgado, L."
"Benitez, D.S.","Quek, S."
"Benitez, D.S.","Gaydecki, P."
"Quek, S.","Gaydecki, P."
"Troya, D.P.C.","Mendez, C."
"Troya, D.P.C.","Segarra, J."
"Troya, D.P.C.","Aller, J.M."
"Mendez, C.","Segarra, J."
"Mendez, C.","Aller, J.M."
"Segarra, J.","Aller, J.M."
"Aller, J.M.","Segarra, J."
"Benitez, D.S.","Debut, A."
"Benitez, D.S.","Cumbal, L."
"Debut, A.","Cumbal, L."
"Salvatierra, B.G.","Dominguez, D.H."
"Salvatierra, B.G.","Morales, J.A."
"Dominguez, D.H.","Morales, J.A."
"Llano, D.","Snchez, A."
"Porras-Ortiz, A.F.","Layedra, J."
